word,meaning,example
pinnacle,the most successfull point ; the culmination,he has reached the pinnacle of his career
plague,cause continual trouble or distress to.,he has been plagued by ill health
renunciation,the formal rejection of something typically a belief or claim of something,the life of the spirit required renunciation of marriage
culminate,reach a climax or point of highest development,weeks of violence culminated in the brutal murder of a magistrate
lamentation,the passionate expression of grief or sorrow,scenes of lamentation
compassion,sympathetic pity and concern for the sufferings or misfortune of others.,the victims should be treated with compassion
obeisance,deferential respect,they paid obeisance to the prince
enamor,have a liking or admiration for,she was truly enamored of new york
inhibit,"hinder , restrain or prevent (an action or process)",cold inhibits plant growth
antagonist,A person who actively opposes or is hostile to somenone or something ; an adversary,he turned to confront his antagonist
protagonist,"the leading or one of the major characters in a play ,film etc.",the novel's main protagonist is an American intelligence officer
Adversary,"one's opponent in a competition , conflict or dispute",David beats his old adversary in quarter-finals
revere,feel deep respect or admiration of something,the family reveres old traditions
Fratricidal,relating to or denoting conflict within a single family or organization,the fratricidal strife withing the party
strife,angry or bitter disagreement over fundamental issues ; conflict,strife within the community
Integrity,the condition of being free from defect or damage ; total honesty and sincerity ; the quality or state of being complete or undivided,No one doubted that the president was a man of highest integrity
contemporary,a person or thing living or existing at the same time as another,he was a contemporary of Darwin
Ethereal,extremely delicate and light in a way that seems not to be of this world,her ethereal beauty
Pious,devoutly religious,a deeply pious woman
unravel,"undo ( twisted , knitted or woven threads )",their plans unraveled when she lost her job
crumpled,crushed to form creases and wrinkles,a crumpled sheet
imperishable,indestructible ; enduring forever,imperishable truths
endure,suffer (something painful or difficult ) patiently ; remains in existence,these cities endured through time
pervade,( especially of a smell ) spread through and be perceived in every part of,a smell of stale cabbage pervaded the air
sentient,able to perceive or feel things,she had been instructed from birth in the equality of all sentient life forms
shroud,a length of cloth or an enveloping germent in which a dead person is wrapped for burial,he was buried in a linen shroud
riddance,the action of getting rid of a troublesome or unwanted person or thing,"the new movement emphasized discipline , not riddance or punishment as a method of solving the criminal problem "
plead,make an emotional appeal,they pleaded with them not to take any action against the boy
aeon,plural noun eons ; an indefinite and very long period of time,he reached the crag aeons before i arrived
flair,a special or instinctive aptitude or ability for doing something well,she had a flair for languages
grumble,complain about something in a bad-tempered way,i'm getting old she grumbled
impudence,the quality of being impudent ; impertinence,his arrogance and impudence had offended many
impertinence,lack of respect ; rudeness,they gasped at the impertinence of the suggestion
sire,of a male animal especially stallion cause the birth of,he was a gross fellow sired by a comic actor
Menacingly,in a way suggesting the presence of danger ; threatingly,a helicopter hovered menacingly overhead
Evade,escape or avoid (someone or something) by trickery,friends help him evade capture for a time
Odyssey,a long and eventful or adventurous journey or experience,his odyssey from military man to politician
call off,cancel an event or agreement,they held a ballot on whether to  call off industrial action
wade,walk with effort through water or liquid,he waded out to the boat
Transient,lasting only for a short period of time ; impermanent,a transient cold spell
Impeccable,perfect and has no faults,his impeccable clothing style
Impaired,Weakened or damaged ; disability,slight-impaired children
Personnel,"A group of people who follow orders , usually at a company","If you have a job , you're considered to be personnel to be managed "
Resuscitate,revive (someone) from unconcious or apparent death,an ambulance crew tried to resuscitate him
Transcendental,belongs to outer-world ; beyond ordinary,His transcendental nature
Accustomed,used-to,His accustomed routine
Manoeuvre,A movement or series of moves requiring skill and care,snowboaders performs daring manoeuvre on precipitous slopes
Precipitous,Dangerously high or steep,the track skirted a precipitous drop
Skirted,to just run closely along something,the track skirted a precipitous drop
Outmanoeuvre,evade (an opponent) by moving faster or with greater agility,The y22 can outmanoeuvre any fighter-jet today
Reconciliation,the act of causing two people or groups to become friendly again after an argument or disagreement,Two friends reconciliated after many years
Contemplate,"Contemplate means to think about or consider something deeply and thoroughly, often reflecting on possibilities, decisions, or profound ideas; it suggests a level of serious thought and introspection.","She sat by the window to contemplate her future, weighing her options before making a significant life decision."
Feckless,people or things which are weak or ineffective,Their feckless efforts
Fleeting,lasting for a very short time,for a fleeting moment i saw the face of that boy
sneer,smile or speak in a contemptuous or macking manner,she had sneered at their bad taste
squealing,to make a shrill cry or noise,squealing of small children is so unbearable
Pioneer,develop or be the first to use or apply,this technique was pioneered by a swiss doctor
Inception,the establishment or starting point of an institute or activity,she has been on the board since its inception 2 years ago
Extortion,the practice of obtaining something especially money through force or threats,he used bribery and extortion to build himself a huge art-stuffed mansion
Sheath,a close-fitting cover for the blade of a knief or sword,its the perfect sheath for my handmade sword
impede,delay or prevent (someone or something) by obstructing them ; hinder,the sap cause swelling which can impede breathing
errand,a short jouney undertaken in order to deliver or collect something especially on someone else's behalf,she asked Tim to run an errand for her
Indignant,feeling or showing anger or annoyance at what is perceived as unfair treatment,he was indignant at being the object of suspicion
Sprawl,"sit , lie or fall with one's arms and legs spread out in an ungainly way"," the door shot open , sending him sprawling across the pavement "
prod,"poke with foot , finger or pointed object ",he prodded her in the ribs
Predicament,"a difficult , unpleasant or embarrasing situation",the club's financial predicament
chasm,a deep fissure in earth's surface,a chasm a mile long
altar,the table in a church at which the bread and wine are consecrated in communion services,running to the altar like a track star
gravel,loose rounded rock stones,those colored gravels in the pond
wistfully,with a feeling of vague or regretful longing,he smiled wistfully wehen he spoke of her
deter,discourage or prevent them from acting,Muddy road detering the speed of his bike
frisk,of a police officer pass the hands over someone in a search for hidden weapon,he raised his arms to permit the officer to frisk him
bore,make a hole,bore a hole in the wall to pass the cable through
nudge,to gently push or touch,i nudge the plate closer to him
etched,to produce design on a hard material especially by laser etc.,his name etched on that statue
hauled,to pull something heavy slowly and with difficulty,they hauled the boat out of the water
delinquent,"typically of a young person tending to commit crime , particularly minor crime",delinquent teenagers of old times
alley,a narrow passageway between or behind buildings,he took a shortcut along an alley
vagrant,a person without a settled home or regular work who wanders from place to place and lives by begging,there are around a million vagrants you found near bandra coast
Boulevard,A wide road or avenue that's often lined with trees and grass,Every round-about of chandigarh comprises of 4 lanes of boulevards
Muse,absorbed in thought,he was musing on the problems he faced
inflicted,to force someone to experience something very unpleasant,these new bullets are capable of inflicting massive injuries
composure,the state of feeling of being calm and in control of oneself,I am struggling to regain my composure
Bray,"the loud , harsh cry of a donkey",the mule uttered its insane bray
Probe,a thorough investigation into a crime or other matter,a probe into city hall corruption
Articulate,having or showing the ability to speak fluently and coherently,an articulate account of their experiences
maroon,"leave (someone) trapped and alone in an inaccessible place , especially an island",a novel about schoolboys marooned on a desert island
creep,move slowly and carefully in order to avoid being heard or noticed,"he crept downstairs,hardly making any noise"
crippled,severely damaged or malfunctioning,the pilot displayed skill and nerve in landing the crippled plane
commemorative,something is made or done to honour and remember a person or event etc.,"A commemorative object can be a coin , stamp or even a charity walk"
chaperone,accompany and look after or supervise,she chaperoned the chldren at all times
onlooker,a non-participating observer ; a spectator,a crowd of fascinated onlookers
caress,touch or stroke gently or lovingly,she felt the caress of his breath on her cheeks
quench,satisfy one's thirst by drinking,fireman haulded on hauses in a desperate bid to quench the flames
lurched,to make a sudden unsteady movement forward,suddenly the horse lurched to one side and the child fell off
trickle,a liquid flow in a small stream,a solitary tear trickled down her cheeks
solitary,done or existing alone,i live a pretty solitary life
fugitive,a person who has escaped from captivity or is in hiding,fugitives from justice
coursing,to flow quickly or in large amounts,tears were coursing down his cheeks
gnash,grinding one's teeth in anger,no doubt he is gnashing his teeth in rage
blimp,a fat person,that blimp boy
Rhinestone,diamond stimulant originally made from a rock crystal,The purse's border covered with Rhinestones
shoehorn,force into an inadequate space,people were shoehorned into cramped corners
Deceitful,having a tendency to deceive or give false impression,"You might describe someone as deceitful when they are untrustworthy , two-faced or fraudulent"
yap,"give a sharp , shrill bark",the dachshunds yapped at his heels
compel,force or oblige someone to do something,a sense of duty compelled Harry to answer her questions
Pillage,"rob a place using violence , especially in wartime",artworks pillaged from churches and museums
Obsolete,"Obsolete means no longer produced or used; out of date or no longer relevant, often due to advancements in technology or changes in society.","With the rise of digital photography, traditional film cameras have become largely obsolete, making it difficult for manufacturers to compete."
ethnicity,the quality or fact of belonging to a population group or subgroup made up of people who share a common cultural background or descent,"the interrelationship between gender,class and ethnicity"
surreptitious,"kept secret , especially because it would not be approved of",some surreptitious aggrements were made between some political parties
circumvent,"overcome a problem or difficulty , typically in a clever and surreptitious way",i found it quite easy to circumvent security
Hyperbole,exaggerated statements or claims not meant to be taken literally,he vowed revenge with oaths and hyperboles
Panacea,a solution or remedy for all difficulties or diseases,the panacea for all corporate ills
Propensity,strong natural tendency to do something,his propensity for violence
falter,lose strength or momentum,them usic faltered
reek,smell strongly and unpleasantly ; stink,the yard reeked of wet straw and horse manure
Wail,"a prolonged high-pitched cry of pain , grief or anger",Christopher let out a wail
Torment,Severe physical or mental suffering,their deaths have left both families in torment
Vandalism,action involving deliberate destruction of or damage to public or private property,an act of mindless vandalism
Veer,change direction suddenly,an oil tanker that had veered off course
Careen,move swiftly and in uncontrolled way,an electric golf cart careened around the corner
Quiver,"Quiver means to shake or tremble with a slight, rapid motion; it can also refer to a momentary feeling of fear or excitement.",Her lip began to quiver as she fought back tears during the emotional speech.
Stow,pack or store an object carefully and neatly in a particular place,Barney began stowing her luggage into the boot
Wary,feeling or showing caution about possible dangers or problems,dogs which have been mistreated often remain very wary of strangers
Resent,"feel bitterness or indignation at circumstance , action or person",She resented the fact that i had children
Aspersion,an attack on the reputation or integrity of someone or something,i don't think anyone is casting aspersions on you
Slump,"sit,lean or fall heavily and limply",she slumped against the cushions
Memento,an object kept as a reminder of a person or event ; souvenir,you can purchase a memento of your visit
Carnage,the killing of large number of people,the bombing was timed to cause as much carnage as people
Prevail,Prove more powerful or superior,It is hard for logic to prevail over emotion
Arsenal,A collection of Weapons and Military equipment,Britain's nuclear arsenal
Tame,(of an animal) not dangerous or frightened of people ; domesticated,The fishes are so tame you have to push them away
Quarrel,"A heated argument or disagreement , typically about a trivial issue and between people who are usually on good terms",She made the mistake of picking a quarrel with John
Grimace,To make an expression of strong dislike or pain,He grimaced on her first look
Relent,"abandon or mitigate a severe or harsh attitude , especially by finally yielding to a request ",she was going to refuse his request but relented
Crevise,"a narrow opening or fissure , especially in a rock or wall",many creatures hide in crevices of the wall
Croon,"hum or sing in a soft , low voice , especially in a sentimental manner",she was crooning to the child
Grapple,engage in a close fight or struggle without weapons ; wrestle,passers-by grapple with the man after the knief attack
Wad,compress (a soft material ) into a lump or mass,wad the strips over and over so that they ball up
Audacity,willingness to take bold risks,he whistled at the sheer audacity of the plan
Maim,wound or injure (a person or animal) so that part of the body is permanently damaged,10000 soldiers were killed or maimed
Scrutinize,examine or inspect closely and thoroughly,customers were warned to srcutinize the small print
covertly,without being openly acknowledge or displayed ; secretly,a transcript of a covertly taped meeting
Indigenous,originating or occuring naturally in a particular place ; native,coriander is indigenous to southern Europe
Persuade,induce (someone) to do something through reasoning or argument,It wasn't easy but i persuaded him to do the right thing
Shudder,"Shudder means to tremble or shake involuntarily, often due to fear, disgust, or a strong emotional response; it can also describe a physical reaction to something unsettling.","She couldn't help but shudder at the thought of the horror movie she had watched the night before, recalling its frightening scenes."
Maiden,an unmarried girl or young woman,two knights fought to win the hand of a fair maiden
Glumly,"sad , quiet and unhappy",the three of us sat glumly looking out to sea
Unprecendented,never having happened or existed before,an unprecedented event.
Scamper,"(especially of a small animal or child) run with quick light steps , especially through fear or excitement ",he scampered in like an overgrown puppy
spar,"make the motions of boxing without landing heavy blows, as a form of training.",one contestant broke his nose while sparring
pound,strike or hit heavily and repeatedly,Patrick punded the couch with his fists
Pester,trouble or annoy someone with frequent or persistent requests or interruptions,she constantly pestered him with telephonic calls
Mar,impair the quality or appearance of ; spoil,violence marred a number of New Year celebrations
Secluded,(of a place) not seen or visited by many people ; sheltered and private,the gardens are secluded and quiet
Presiding,be in the position of authority in a meeting or other gathering,the prime minister will preside at an emergency cabinet meeting
